orderDate,dailySale,dailyCostPrice,dailyProfit
"2003-01-06 00:00:00",10223.829999999998,6283.47,3940.359999999998
"2003-01-09 00:00:00",10549.01,5312.27,5236.74
"2003-01-10 00:00:00",5494.78,3358.84,2135.9399999999996
"2003-01-29 00:00:00",50218.950000000004,31391.840000000004,18827.11
"2003-01-31 00:00:00",40206.2,24525.4,15680.799999999996
"2003-02-11 00:00:00",53959.21,32584.880000000005,21374.329999999994
"2003-02-17 00:00:00",52151.810000000005,30853.59,21298.220000000005
"2003-02-24 00:00:00",22292.620000000003,12984.849999999999,9307.770000000004
"2003-03-03 00:00:00",51001.219999999994,31129.779999999995,19871.44
"2003-03-10 00:00:00",25833.14,14190.72,11642.42
"2003-03-18 00:00:00",48425.69,27936.180000000004,20489.51
"2003-03-24 00:00:00",7674.9400000000005,4256.76,3418.1800000000003
"2003-03-25 00:00:00",16537.850000000002,10476.579999999998,6061.270000000004
"2003-03-26 00:00:00",11044.300000000001,6424.099999999999,4620.200000000002
"2003-04-01 00:00:00",33383.14000000001,20538.759999999995,12844.380000000012
"2003-04-04 00:00:00",21665.980000000003,13667.199999999999,7998.780000000004
"2003-04-11 00:00:00",1627.56,721.4399999999999,906.12
"2003-04-16 00:00:00",44380.15,26541.399999999998,17838.750000000004
"2003-04-21 00:00:00",3101.4,1839.2400000000002,1262.1599999999999
"2003-04-28 00:00:00",35826.33,21343.89,14482.440000000002
"2003-04-29 00:00:00",45864.03,27349.850000000002,18514.179999999997
"2003-05-07 00:00:00",16700.47,9386.97,7313.500000000002
"2003-05-08 00:00:00",50824.659999999996,32538.890000000003,18285.769999999993
"2003-05-20 00:00:00",14571.44,7898.360000000001,6673.08
"2003-05-21 00:00:00",40207.06,24457.600000000002,15749.459999999995
"2003-05-28 00:00:00",57131.92,33566.74,23565.18
"2003-06-03 00:00:00",58841.35,34744.280000000006,24097.069999999992
"2003-06-06 00:00:00",13884.99,9220.24,4664.75
"2003-06-12 00:00:00",29429.14,18290.98,11138.16
"2003-06-16 00:00:00",23069.249999999996,14506.11,8563.139999999996
"2003-06-25 00:00:00",2880,1958.3999999999999,921.6000000000001
"2003-06-27 00:00:00",22366.04,13521.19,8844.85
"2003-07-01 00:00:00",23419.47,12472.72,10946.750000000002
"2003-07-02 00:00:00",55601.840000000004,33692.87,21908.97
"2003-07-04 00:00:00",14232.7,8661.69,5571.01
"2003-07-07 00:00:00",32077.440000000002,19946.110000000004,12131.329999999998
"2003-07-10 00:00:00",13920.26,7688,6232.26
"2003-07-16 00:00:00",24013.519999999997,14133.14,9880.379999999997
"2003-07-24 00:00:00",38675.130000000005,23272.239999999998,15402.890000000007
"2003-08-01 00:00:00",29716.860000000004,18696.6,11020.260000000006
"2003-08-08 00:00:00",56052.56000000001,33460.79,22591.77000000001
"2003-08-10 00:00:00",41016.74999999999,25581.390000000003,15435.35999999999
"2003-08-13 00:00:00",1128.1999999999998,660.4000000000001,467.7999999999997
"2003-08-25 00:00:00",50342.74,29662.049999999996,20680.690000000002
"2003-09-03 00:00:00",6631.36,3576.6200000000003,3054.7399999999993
"2003-09-05 00:00:00",32680.31,20227.55,12452.760000000002
"2003-09-11 00:00:00",41554.729999999996,24910.200000000004,16644.52999999999
"2003-09-12 00:00:00",29997.090000000004,17058.31,12938.780000000002
"2003-09-19 00:00:00",38350.149999999994,23716.05,14634.099999999995
"2003-09-21 00:00:00",32723.04,19328.06,13394.98
"2003-09-25 00:00:00",9821.32,6513.150000000001,3308.169999999999
"2003-09-28 00:00:00",44939.85,27512.379999999997,17427.47
"2003-10-02 00:00:00",4465.85,2677.13,1788.7200000000003
"2003-10-04 00:00:00",24101.81,14878.490000000002,9223.32
"2003-10-05 00:00:00",36798.880000000005,24110.46,12688.420000000006
"2003-10-06 00:00:00",61510.72,36469.53,25041.190000000002
"2003-10-08 00:00:00",4599.52,2996.3999999999996,1603.1200000000008
"2003-10-09 00:00:00",17746.260000000002,11529.87,6216.390000000001
"2003-10-10 00:00:00",56174.06,31593.040000000005,24581.019999999993
"2003-10-11 00:00:00",20452.5,14122.64,6329.860000000001
"2003-10-17 00:00:00",36164.46,22211.789999999997,13952.670000000002
"2003-10-18 00:00:00",30876.439999999995,17333.19,13543.249999999996
"2003-10-20 00:00:00",22042.37,12920.3,9122.07
"2003-10-21 00:00:00",37099.75,22799.14,14300.61
"2003-10-22 00:00:00",67392.84999999999,40927.28,26465.569999999992
"2003-10-23 00:00:00",44167.090000000004,27772.829999999998,16394.260000000006
"2003-10-28 00:00:00",50743.65,31433.5,19310.15
"2003-11-04 00:00:00",53678.16000000001,32518.109999999997,21160.050000000014
"2003-11-05 00:00:00",79512.70999999998,45824.7,33688.00999999998
"2003-11-06 00:00:00",99916.59000000001,60187.090000000004,39729.50000000001
"2003-11-07 00:00:00",31428.210000000006,19713.609999999997,11714.60000000001
"2003-11-08 00:00:00",33818.340000000004,20268.370000000003,13549.970000000001
"2003-11-11 00:00:00",65747.40999999999,39159.689999999995,26587.719999999994
